prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max,weighted_z_score,winmax_weighted_z_score,weighted_p_value,weighted_prediction,weighted_confidence,avg_kl,avg_delta,avg_entropy,avg_p_green_mass,gate_pass_rate,avg_candidate_size,candidate_top_p,kl_epsilon,ppl_num_scored_tokens,ppl_nll_sum,ppl_avg_nll,ppl
4,Fixed Delta 1.864,1.864,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously on May 17 to give Amazon $23 million and other incentives to build the site. The board has already authorized $15 million in construction and spending, but with those funds it will decide on what is most important. A preliminary recommendation to give Amazon $23 million and other incentives for the project is on the table and it’s scheduled to return to the board later this week. The board also approved a $10 million contract for the site, which will",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,88,0.6363636363636364,0.8735632183908046,0.36363636363636365,1.864,1.864,1.864,,,,,,,,,,,,,,100,179.67916870,1.79679169,6.03026940
4,Current Adaptive Delta,adaptive,0.5,3.0,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously to grant Amazon $23 million to build a headquarters campus in Crystal City.

Watersboro, Va. – A federal judge ruled Friday that the state of Virginia is legally allowed to provide a $3.5 million contract to build a logistics center for Amazon.“The federal judge’s decision to grant Amazon’s motion for an injunction restraining the state of Virginia from providing a contract to build the logistics center for Amazon is based on",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,81,0.6049382716049383,0.8375,0.3950617283950617,1.8203766202926637,1.6180340051651,2.391690254211426,7.158549524524793,7.397410994035669,4.0767566574640547e-13,True,0.9999999999995923,,,0.2487037059519739,0.32007701105671005,0.82,422.48,,,100,152.73310852,1.52733109,4.60586774
5,No Watermark,,,,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security and technology risk management. A former chief information security"," officer at Cidar, he has more than 20 years of experience in helping organizations manage information security and compliance issues.
WiseGuy spoke to Kispert about his background, what he's done to prepare for this role, what he's learned as a member of the team, and what he's learned from working with clients with KISP.
How has technology changed over the years?
Searching for the right people?
We've always looked for people who were willing to work",99,30,0.30303030303030304,1.2185435916898848,0.11150873497330749,Human/Unwatermarked,0.0,76,0.7763157894736842,0.96,0.22368421052631582,,,,-0.0788669551062455,2.0913565155705602,0.5314307763257587,False,0.0,,,0.2936492453116685,0.2830671117734164,0.89,639.2,,,100,193.60543823,1.93605438,6.93134850
5,Fixed Delta 1.864,1.864,,,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security and technology risk management. A former chief information security"," officer of the Financial Times, he has more than 30 years of experience in information security and information risk management, and digital security. Karl has held executive responsibilities of business and strategic responsibilities as well as as a key member of the leadership team at the company. He is a board member of the organizations Data Security Group’s Advisory Board of Directors, which includes several other top executives from the Financial Times. He is an adviser to the Financial Times’ Governance, Innovation, and Science team and",99,55,0.5555555555555556,7.021132123546479,1.100388069780592e-12,Watermarked,0.9999999999988997,87,0.632183908045977,0.8953488372093024,0.367816091954023,1.864,1.864,1.864,,,,,,,,,,,,,,100,219.74148560,2.19741486,9.00171267
5,Current Adaptive Delta,adaptive,0.5,3.0,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security and technology risk management. A former chief information security"," officer of the Financial Times, he has more than 30 years of experience in information security and information security risk management. He is also the author of the book ""Information Security, Globalization, and the Global War on Privacy"" (2011), and the first book to provide a comprehensive overview of the various privacy and consumer rights in the US. He is also the author of the book ""Information Security, Globalization, and the Global War on Privacy"" (2015), and the first non-fiction book",99,69,0.696969696969697,10.270581701386172,4.781315307935896e-25,Watermarked,1.0,82,0.5,0.7160493827160493,0.5,1.83825976729393,1.6180340051651,2.4272589683532715,8.539710222873742,8.539710222873742,6.727942416208807e-18,True,1.0,,,0.2541323692690714,0.3720881345681846,0.81,558.17,,,100,151.03768921,1.51037689,4.52843720
6,No Watermark,,,,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The former"," Hawaii Air Force pilot was fired after issuing a false ballistic missile alert. (Photo: Darryl Dyck / AP)
A man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack.
Darryl Dyck, 55, was fired after issuing the false ballistic missile alert on January 24, January 25 and January 26,",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,78,0.6410256410256411,0.8051948051948052,0.3589743589743589,,,,-1.1328844846733566,1.383350330351449,0.8713686168187775,False,0.0,,,0.13765461396072223,0.5325454172678292,0.45,215.39,,,100,79.79462433,0.79794624,2.22097490
6,Fixed Delta 1.864,1.864,,,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The former"," Hawaii State Police agent was fired for issuing a false ballistic missile alert in mid-January, after he received the report at his home and told reporters that he thought it sounded, at the time, to be a real-life threat. The investigation is still ongoing, with investigators looking into whether the alert was falsified. The suspect, Kari Kamehameha, said Friday that he and several other people responded to the alert in his home on January 11, January 15. The alert was",99,54,0.5454545454545454,6.789028582272215,5.6445538431059e-12,Watermarked,0.9999999999943554,82,0.7195121951219512,0.9259259259259259,0.2804878048780488,1.864,1.864,1.864,,,,,,,,,,,,,,100,194.51101685,1.94511017,6.99440238
6,Current Adaptive Delta,adaptive,0.5,3.0,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The former"," Hawaii State Police agent was fired for issuing a false ballistic missile alert in mid-January, after he received a report that a man had been shot to death outside a business in East Honolulu. The shooting occurred in front of the business on West Mead Street. A source with knowledge of the incident told The Honolulu Star-Advertiser that the man, who identified himself as a law enforcement officer, said in his report that the man was a ""nice guy"" and that the man was not an """,99,59,0.5959595959595959,7.949546288643535,9.359791413521555e-16,Watermarked,0.9999999999999991,88,0.6931818181818182,0.9195402298850575,0.30681818181818177,1.8662022697925567,1.6180340051651,2.5561084747314453,9.932220354935945,9.932220354935945,1.5073330737764148e-23,True,1.0,,,0.2708422958317769,0.32897970934864135,0.82,558.0,,,100,173.81442261,1.73814423,5.68678025
7,No Watermark,,,,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song"," EP is now on track for a debut chart-topper, and she’s already got a lot of folks in the know. The big breakdown is that she will be releasing the album on November 9, 2017, and will be officially releasing the new EP on October 21, 2017.

“It’s been so hard to put a name to what I have done in my life,” she said. “In the last few years, I have been",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,76,0.6842105263157895,0.9466666666666667,0.3157894736842105,,,,0.48406245273381326,2.778222090489036,0.31417077368526136,False,0.0,,,0.273882785314875,0.30681063583120705,0.85,359.29,,,99,182.82527161,1.84671992,6.33899295
7,Fixed Delta 1.864,1.864,,,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song"," EP includes new tracks such as “Why Do You Mean,” “I’ll Never Get Back,” “We Can’t Back Down,” “I’ll Never Get Back,” “I Don’t Know Why,” “Boo-hoo,” “What Do You Mean,” “The Descendents,” “Pinky,” “The",99,54,0.5454545454545454,6.789028582272215,5.6445538431059e-12,Watermarked,0.9999999999943554,40,0.675,0.8461538461538461,0.32499999999999996,1.864,1.864,1.864,,,,,,,,,,,,,,100,133.82574463,1.33825745,3.81239441
7,Current Adaptive Delta,adaptive,0.5,3.0,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song"," EP includes new tracks such as “Curb Your Enthusiasm,” “Gently,” “A Day at the Beach” and “The Good Girl,” and it sounds like it will hit the charts as early as September. The new album is expected to”be a lot of fun,” said J.D. Power, author of the book, which features a sneak peek at the album and a video. The book details Twain",99,55,0.5555555555555556,7.021132123546479,1.100388069780592e-12,Watermarked,0.9999999999988997,66,0.7121212121212122,0.9692307692307692,0.28787878787878785,1.8818404817581176,1.6180340051651,2.5092062950134277,9.401526867877205,9.401526867877205,2.688846720136893e-21,True,1.0,,,0.26737306342175476,0.36248812078498305,0.75,671.55,,,100,183.88778687,1.83887787,6.28947668
8,No Watermark,,,,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and"," paintings. It features a set of six pieces made on the Palestinian flag.
Abbo, a Palestinian artist living in Israel, and his son, Abu Abbo, are engaged in an intensively researched project aimed at exploring the Palestinian poet and the artist's vision for the future. It is being exhibited at the Royal Arab Museum in Knesset on Friday, July 19.
Abbo and his son are engaged in an intensively researched project aimed at exploring the Palestinian poet and the artist's",99,21,0.21212121212121213,-0.8703882797784892,0.807955875263074,Human/Unwatermarked,0.0,80,0.575,0.7721518987341772,0.42500000000000004,,,,-0.781399847145099,1.3178590237154957,0.7827163194997591,False,0.0,,,0.2803248470647837,0.38337738015223294,0.78,772.61,,,100,185.44522095,1.85445221,6.38819790
8,Fixed Delta 1.864,1.864,,,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and"," paintings. It features a set of photographs, drawings, paintings, drawings and photographs taken from the Israeli (not Israeli) side of the border, which began its campaign of construction in 1967 against the West Bank. The installation is at the Amman Museum of the Palestinian Economy.

Archive For the Market’s Bookmark

Get the Daily Star’s latest headlines delivered straight to your inbox.

Sign up for free email alerts Sign up for free email alerts Sign up",99,63,0.6363636363636364,8.87796045374059,3.4048719575050004e-19,Watermarked,1.0,77,0.6883116883116883,0.8947368421052632,0.3116883116883117,1.864,1.864,1.864,,,,,,,,,,,,,,100,197.65197754,1.97651978,7.21758042
8,Current Adaptive Delta,adaptive,0.5,3.0,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and"," paintings. It features a set of photographs, drawings, paintings, drawings and photographs taken from the Israeli (not Israeli) side of the border, which began its campaign of construction in 1967. The Israeli side of the border is at the far end of the border, with scores of Israeli settlers building settlements in the West Bank and Gaza Strip. The Israeli side of the border is at the far end of the border with Jordan, which began its campaign of construction in 1967.

The Israeli side of",99,57,0.5757575757575758,7.4853392060950075,3.5681289972117485e-14,Watermarked,0.9999999999999644,86,0.43023255813953487,0.6235294117647059,0.5697674418604651,1.8766765701770782,1.6180340051651,2.4294393062591553,7.511650436333316,8.26773871896317,2.919326206406922e-14,True,0.9999999999999708,,,0.27230023705753276,0.3416889069322497,0.76,687.8,,,100,168.32183838,1.68321838,5.38285221
9,No Watermark,,,,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado,"," just outside of Phoenix. He was about to make a stop, he says, when his blind friend (not his name) pulled him onto the tracks.

Wyatt was walking with a friend in front of the train tracks. When the train rolled, Wyatt fell back onto his back, and he’s been searching for the man since.

“I’ve gone through a lot of things over the years,” Wyatt said. “I’",99,30,0.30303030303030304,1.2185435916898848,0.11150873497330749,Human/Unwatermarked,0.0,70,0.6857142857142857,0.9855072463768116,0.3142857142857143,,,,0.6326791483091679,1.4786418578523763,0.26347159463824743,False,0.0,,,0.23424435540122993,0.3487677005492151,0.79,253.96,,,100,159.11441040,1.59114410,4.90936254
9,Fixed Delta 1.864,1.864,,,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado,"," where he and another man were walking when a white man walked toward him. The man thought he was trying to help, but the man told him to keep walking. The black man then got up to walk in front of the man who was running away. A woman, also a blind man, said she followed a white man who was running away, so they stepped back and walked closer. The man then got back up the stairs, which the man walked toward. He returned to the train station and",99,64,0.6464646464646465,9.110063995014853,4.116669580158606e-20,Watermarked,1.0,90,0.5444444444444444,0.8426966292134831,0.4555555555555556,1.864,1.864,1.864,,,,,,,,,,,,,,100,213.56555176,2.13565552,8.46259207
9,Current Adaptive Delta,adaptive,0.5,3.0,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado,"," where he and another man were walking when a white man walked toward them. The man thought he was trying to help, but the man told him to keep walking. The man said he went back to make sure Wyatt wasn't going to hurt him. The man then ran away, leaving Wyatt dead in his tracks.

""It's a tough feeling,"" Wyatt said. ""I was scared and traumatized. I didn't know what to do. I just thought it was stupid, but it",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,81,0.654320987654321,0.9625,0.345679012345679,1.8030030047893524,1.6180340051651,2.2335619926452637,7.9788705455142255,7.9788705455142255,7.383917924640236e-16,True,0.9999999999999992,,,0.2529732278047267,0.27581761857494713,0.88,184.0,,,100,183.40039062,1.83400391,6.25889659
10,No Watermark,,,,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back"," in the NBA.

“It’s kind of like you’re in a dark room,” Glashow explains. “I can hear what’s going on and I can see what is happening, but I’m not there, and I’m not there with you. I’m not there with you.”

But after Kevin’s horrific leg injury, everyone is asking: will he ever be back",99,18,0.18181818181818182,-1.5666989036012806,0.941407456400931,Human/Unwatermarked,0.0,63,0.6666666666666666,0.8387096774193549,0.33333333333333337,,,,-0.11477051404039898,1.068943504710038,0.5456864895146005,False,0.0,,,0.18227436611009745,0.39537593342829497,0.65,140.9,,,100,105.24145508,1.05241455,2.86455940
10,Fixed Delta 1.864,1.864,,,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back"," in the NBA? We thought he would have to let everyone know.

“He got a lot better,” Glashow explains. “He became more comfortable with it. He gets better at dealing with it. He’s gotten more comfortable with it, which is very important to him. He’s got so much more confidence now. He’s got a lot more confidence in everybody around him. He’s got a lot more confidence in",99,60,0.6060606060606061,8.181649829917799,1.3999184135288104e-16,Watermarked,0.9999999999999999,72,0.5416666666666666,0.7323943661971831,0.45833333333333337,1.864,1.864,1.864,,,,,,,,,,,,,,100,151.63482666,1.51634827,4.55555910
10,Current Adaptive Delta,adaptive,0.5,3.0,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back", in the NBA. He says he and wife Jennifer Oklouk are happy to hear that Kevin has made a full recovery. He and Jennifer spoke to HollywoodLife.com about Kevin’s injuries.,41,23,0.5609756097560976,4.598515136803904,2.1275640173374973e-06,Watermarked,0.9999978724359827,32,0.8125,0.967741935483871,0.1875,1.8375191120874315,1.6180340051651,2.3644213676452637,6.108282800246493,6.233667795633334,5.035439595832199e-10,True,0.999999999496456,,,0.26341013192233953,0.35743821668438613,0.8571428571428571,417.6666666666667,,,41,90.51525116,2.20768905,9.09467478
11,No Watermark,,,,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about virtual reality or about some new service for busy Manhattanites. It was something much more subtle and much more substantive. It was the hire," of a new CEO. And the news was also the hiring of a new CEO who thought Walmart was doing a better job than it had been for the last 20 years.

The big real news is that Amazon is going to have a new chief executive. The news was reported by several organizations, and it’s a good thing that Amazon is getting a new CEO. Amazon’s new chief executive, Jay Clayton, will be responsible for cutting costs, not hiring. The news may",99,26,0.26262626262626265,0.29012942659282975,0.38585861217276185,Human/Unwatermarked,0.0,85,0.6,0.8452380952380952,0.4,,,,0.08004122647519875,1.475509631428962,0.46810223357525405,False,0.0,,,0.30164060783000185,0.3045922285504639,0.86,523.13,,,100,193.80690002,1.93806900,6.94532659
11,Fixed Delta 1.864,1.864,,,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about virtual reality or about some new service for busy Manhattanites. It was something much more subtle and much more substantive. It was the hire," of Scott Morrison to be the next prime minister and the first in his third term as PM. The move was done to make sense and a good one. I'm not surprised by it. It must have felt good, because it was. But it wasn't just a good move. It was a smart move to make and a good move nonetheless.

Walmart (NYSE:WMT) is well-positioned for an explosive year. The online retail giant has become one of the hottest",99,60,0.6060606060606061,8.181649829917799,1.3999184135288104e-16,Watermarked,0.9999999999999999,81,0.6790123456790124,0.925,0.32098765432098764,1.864,1.864,1.864,,,,,,,,,,,,,,100,206.57191467,2.06571915,7.89097062
11,Current Adaptive Delta,adaptive,0.5,3.0,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about virtual reality or about some new service for busy Manhattanites. It was something much more subtle and much more substantive. It was the hire," of Scott Danner to write a column for Walmart on the subject. Danner was not fired for his words but rather for his actions. The big news of the month was that Walmart had established a retail partnership with Mobile World Congress – a giant company that the company has acquired several times – to provide a gift to consumers in Japan. This is something that the company has been offering for years. Because of this deal, the company has gotten a lot of attention. Not only that, but it has",99,64,0.6464646464646465,9.110063995014853,4.116669580158606e-20,Watermarked,1.0,89,0.6292134831460674,0.9318181818181818,0.3707865168539326,1.936113990545273,1.6180340051651,2.491273880004883,9.8891655762669,9.8891655762669,2.3193909306220772e-23,True,1.0,,,0.32472708128842964,0.2619200278073549,0.93,696.0,,,100,243.09992981,2.43099930,11.37023866
12,No Watermark,,,,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a vehicle outside a campus dormitory, according to university police. The suspected shooter was 37-year-old Melvin Rowland, a man"," who is known to police for being involved in several recent shootings, he said.
The shooting happened around 9:30 p.m. Tuesday in the 100 block of North East 27th Street, police said.
""There was a gunshot wound to the backseat of a vehicle, and she was found inside of it with gunshot wounds,"" police said.
McCluskey was pronounced dead at the scene, police said.
Rowland was a former track and field athlete at the University",99,21,0.21212121212121213,-0.8703882797784892,0.807955875263074,Human/Unwatermarked,0.0,77,0.7142857142857143,0.9473684210526315,0.2857142857142857,,,,0.6312742423618608,2.5319173643157593,0.26393061280294716,False,0.0,,,0.2113212566816176,0.2765225873189047,0.72,308.76,,,100,132.28842163,1.32288422,3.75423380
